Date,Open,High,Low,Close,Adj Close,Volume
2018-07-23,76.709999,76.949997,76.129997,76.589996,75.769325,4198200
2018-07-24,76.849998,77.089996,75.440002,75.529999,74.720695,6054000
2018-07-25,75.239998,77.180000,75.059998,77.160004,76.333237,5542400
2018-07-26,77.000000,78.440002,76.820000,78.150002,77.312622,6706200
2018-07-27,78.169998,78.410004,76.790001,76.889999,76.066116,6125700
2018-07-30,76.879997,76.959999,75.430000,75.959999,75.146080,7275300
2018-07-31,76.440002,77.589996,76.160004,76.910004,76.085915,8265600
2018-08-01,76.500000,78.059998,76.500000,77.540001,76.709160,6878300
2018-08-02,77.769997,79.070000,77.400002,78.650002,77.807259,5313800
2018-08-03,78.730003,78.980003,78.440002,78.739998,77.896294,3762100
2018-08-06,78.739998,79.580002,78.430000,79.510002,78.658058,4280600
2018-08-07,79.730003,80.629997,79.269997,80.529999,79.667114,5418900
2018-08-08,80.209999,81.080002,80.040001,80.500000,79.637444,5327100
2018-08-09,80.489998,81.879997,80.410004,81.260002,80.389290,4558500
2018-08-10,80.820000,81.290001,80.290001,80.730003,79.864983,5036700
2018-08-13,80.820000,81.150002,80.010002,80.150002,79.291199,4101200
2018-08-14,80.330002,80.849998,79.680000,80.139999,79.281296,6079700
2018-08-15,79.570000,79.860001,79.120003,79.570000,78.717407,5057200
2018-08-16,79.900002,80.610001,79.800003,80.050003,79.192268,5475800
2018-08-17,80.040001,80.440002,79.680000,79.750000,78.895477,9001400
2018-08-20,81.519997,82.419998,80.949997,82.180000,81.299438,9345200
2018-08-21,82.309998,83.080002,82.019997,82.949997,82.061188,6337000
2018-08-22,83.099998,83.680000,82.279999,82.639999,81.754509,4308300
2018-08-23,82.430000,83.570000,82.339996,82.910004,82.021614,4156900
2018-08-24,82.419998,82.879997,82.099998,82.449997,81.566536,3453000
2018-08-27,83.040001,83.449997,82.230003,82.650002,81.764404,4012400
2018-08-28,83.230003,83.629997,82.480003,82.580002,81.695160,3788800
2018-08-29,82.419998,83.099998,82.220001,82.790001,81.902901,5712400
2018-08-30,82.580002,82.760002,81.010002,81.400002,80.527786,7122100
2018-08-31,81.250000,82.250000,81.250000,82.199997,81.519516,5177100
2018-09-04,79.389999,80.970001,79.000000,79.599998,78.941040,18565800
2018-09-05,79.650002,80.320000,79.300003,79.919998,79.258400,12269100
2018-09-06,80.169998,80.839996,79.769997,80.400002,79.734428,8576900
